id,RA,Decl,r95,Lx_soft,Lx_hard,Lx_total,HR,log_Lx,log_HR,class
CX1,295.03577706666675,-30.981181433333333,3.464824326662096e-05,4.187650931326552e+31,4.885592753214311e+31,9.073243684540862e+31,0.8571428571428571,31.95776257509311,-0.06694678963061322,CV
CX2,294.9911270666667,-30.936623100000002,4.681552887122188e-05,1.7448545547193969e+31,2.0240312834745002e+31,3.7688858381938973e+31,0.8620689655172414,31.576212982609242,-0.06445798922691845,CV & AB
CX3,295.01963956666674,-30.94646198888889,5.3112423680912174e-05,1.1865010972091897e+31,2.756870196456647e+31,3.9433712936658366e+31,0.430379746835443,31.595867670605713,-0.36614817424818635,CV & AB
CX4,295.0382729000001,-30.949642544444444,6.63855659771557e-05,6.630447307933708e+30,2.5125905587959312e+31,3.175635289589302e+31,0.2638888888888889,31.501830619443385,-0.5785788954784394,CV & AB
CX5,295.03683123333343,-30.939031433333334,7.773992905873281e-05,6.630447307933708e+30,7.328389129821465e+30,1.3958836437755174e+31,0.9047619047619049,31.144849218450254,-0.04346569378109025,CV & AB
CX6,294.97125623333335,-31.00421198888889,8.786154643476631e-05,4.5366218422704313e+30,8.026330951709225e+30,1.2562952793979656e+31,0.5652173913043478,31.09909172788958,-0.24778448371075615,CV & AB
CX7,294.9632645666667,-30.98366198888889,8.616952784861624e-05,5.932505486045949e+30,3.8386800203826724e+30,9.77118550642862e+30,1.5454545454545456,30.98994725846451,0.18905623622004894,CV & AB
CX8,295.01363540000006,-30.984939766666667,9.579463189072582e-05,4.1876509313265524e+30,5.583534575102069e+30,9.771185506428622e+30,0.7500000000000001,30.98994725846451,-0.12493873660829989,CV & AB
CX9,294.97880623333333,-30.95505087777778,0.00010340306004908735,2.1287225567576638e+30,1.2562952793979656e+31,1.469167535073732e+31,0.16944444444444443,31.16707132295796,-0.7709726657565202,CV & AB
CX10,295.02052290000006,-30.9938481,0.00010340306004908735,3.21053238068369e+30,5.932505486045949e+30,9.143037866729638e+30,0.5411764705882353,30.961090518442038,-0.2666610940327187,CV & AB
CX11,295.00095206666674,-30.961117544444445,0.00011712435685722773,2.826664378645423e+30,2.233413830040828e+30,5.060078208686251e+30,1.2656249999999998,30.704157229357268,0.1023050448947625,CV & AB
CX12,295.0078354000001,-30.938792544444446,0.00013200032665377113,2.0240312834745e+30,4.1876509313265524e+30,6.211682214801052e+30,0.4833333333333332,30.793209229431184,-0.31575325248468766,CV & AB
CX13,294.9944229,-30.989495322222226,0.00013200032665377113,1.675060372530621e+30,8.375301862653105e+30,1.0050362235183726e+31,0.2,31.002181714881523,-0.6989700043360187,CV & AB
CX14,295.0019687333334,-30.99395921111111,0.00013838770248797555,1.5005749170586812e+30,4.885592753214311e+30,6.386167670272991e+30,0.30714285714285716,30.80524031685272,-0.5126595800986514,CV & AB
CX15,294.9991104,-30.923970322222225,0.00013838770248797555,2.233413830040828e+30,2.0240312834745e+30,4.2574451135153277e+30,1.1034482758620692,30.62914905779704,0.04275198042094997,CV & AB
CX16,295.0284270666667,-30.95346198888889,0.00013838770248797555,2.652178923173483e+30,6.979418218877588e+28,2.721973105362259e+30,37.99999999999999,30.434883829812772,1.5797835966168101,AB
CX17,295.03419790000004,-30.954345322222224,0.00015457721688062336,1.9891341923801123e+30,2.4078992855127675e+30,4.39703347789288e+30,0.8260869565217391,30.643159772239855,-0.08297423506476391,CV & AB
CX18,294.92551456666666,-30.929348100000002,3.2553979192830096e-05,6.281476396989828e+31,6.9794182188775875e+31,1.3260894615867416e+32,0.8999999999999998,32.122572823739105,-0.04575749056067522,CV
CX19,294.93681456666667,-30.97992032222222,9.361045023970363e-05,4.1876509313265524e+30,6.979418218877587e+30,1.1167069150204138e+31,0.6,31.047939205442198,-0.2218487496163564,CV & AB
CX20,294.94112290000004,-30.961167544444443,3.493125782619384e-05,3.38501783615563e+31,1.0120156417372503e+32,1.3505174253528133e+32,0.3344827586206896,32.130500192141206,-0.4756262636327113,CV
CX21,294.9415937333334,-31.025506433333334,7.897331554555013e-05,5.23456366415819e+30,1.6401632814362328e+31,2.163619647852052e+31,0.3191489361702128,31.335180916620548,-0.4960065988800362,CV & AB
CX22,294.9440270666667,-31.040734211111115,3.85049837230538e-05,2.8266643786454228e+31,4.187650931326552e+31,7.0143153099719745e+31,0.675,31.84598528454278,-0.17069622716897506,CV
CX23,294.94994790000004,-30.923414766666667,9.361045023970363e-05,1.2213981883035777e+31,4.1876509313265524e+30,1.640163281436233e+31,2.9166666666666665,31.21488708505801,0.4648867983026508,CV & AB
CX24,294.98238123333334,-31.03476476666667,2.765557174327542e-05,1.3609865526811295e+32,9.073243684540862e+31,2.268310921135216e+32,1.5000000000000002,32.35570258376515,0.1760912590556813,CV
CX25,294.9874937333334,-31.052220322222222,4.509074614303853e-05,2.4776934677015433e+30,1.675060372530621e+30,4.152753840232164e+30,1.4791666666666665,30.618336188514824,0.17001711134348801,CV & AB
CX26,295.00505206666674,-31.01743698888889,0.00013838770248797555,2.4078992855127675e+30,1.3609865526811295e+31,1.6017764812324062e+31,0.17692307692307693,31.20460191265955,-0.7522155162892439,CV & AB
CX27,295.0136562333334,-31.03136198888889,0.00010637533089164405,2.233413830040828e+30,1.081809823926026e+31,1.3051512069301086e+31,0.20645161290322583,31.11566082932277,-0.6851817198503855,CV & AB
CX28,295.0144520666667,-31.045159211111113,5.096149088368383e-05,1.6401632814362328e+31,1.465677825964293e+31,3.105841107400526e+31,1.119047619047619,31.492179233767207,0.04884856753781701,CV & AB
CX29,295.05581456666675,-30.995942544444446,9.361045023970363e-05,5.583534575102069e+30,2.687076014267871e+30,8.27061058936994e+30,2.0779220779220777,30.917537573132396,0.3176292574834429,CV & AB
CX30,295.0701479000001,-30.961684211111113,9.814017484605553e-05,3.4897091094387935e+30,1.046912732831638e+31,1.3958836437755174e+31,0.33333333333333337,31.144849218450254,-0.4771212547196624,CV & AB
CX31,295.07906040000006,-31.003756433333333,8.616952784861624e-05,4.5366218422704313e+30,1.7448545547193969e+31,2.19851673894644e+31,0.25999999999999995,31.342129776575874,-0.5850266520291821,CV & AB
